Year,Name,Lat,Lon
,,,
2010,Tungurahua,-1.467,-78.442
2010,Eyjafjallajokull,63.63,-19.62
2010,Pacaya,14.381,-90.601
2010,Sarigan,16.708,145.78
2010,Karangetang [Api Siau],2.78,125.48
2010,Sinabung,3.17,98.392
2010,Merapi,-7.542,110.442
2010,Tungurahua,-1.467,-78.442
2010,Tengger Caldera,-7.942,112.95
2011,Merapi,-7.542,110.442
2011,Kirishima,31.93,130.87
2011,Bulusan,12.77,124.05
2011,Karangetang [Api Siau],2.78,125.48
2011,Tungurahua,-1.467,-78.442
2011,Puyehue,-40.59,-72.117
2011,Nabro,13.37,41.7
2011,Katla,63.63,-19.05
2011,Lokon-Empung,1.358,124.792
2011,Gamalama,0.8,127.325
2012,Kilauea,19.425,-155.292
2012,Kilauea,19.425,-155.292
2012,Tolbachik,55.83,160.33
2013,Merapi,-7.542,110.442
2013,Paluweh,-8.32,121.708
2013,Mayon,13.257,123.685
2013,Paluweh,-8.32,121.708
2013,Ubinas,-16.355,-70.903
2013,Sakura-jima,31.58,130.67
2013,Sinabung,3.17,98.392
2013,Okataina,-38.12,176.5
2014,Sinabung,3.17,98.392
2014,Kelut,-7.93,112.308
2014,On-take,35.9,137.48
2014,Kilauea,19.425,-155.292
2014,Fogo,14.95,-24.35
2014,Gamalama,0.8,127.325
2015,Sinabung,3.17,98.392
2015,Calbuco,-41.326,-72.614
2015,Karangetang [Api Siau],2.78,125.48
2015,Manam,-4.1,145.061
2015,Sinabung,3.17,98.392
2015,Okataina,-38.12,176.5
2016,Sinabung,3.17,98.392
2016,Sinabung,3.17,98.392
2016,Yellowstone,44.43,-110.67
2016,Rinjani,-8.42,116.47
2016,Aso,32.88,131.1
2017,Etna,37.734,15.004
2017,Sinabung,3.17,98.392
2017,Fuego,14.473,-90.88
2017,Dieng Volc Complex,-7.2,109.92
2017,Campi Flegrei,40.827,14.139
2017,Aoba,-15.4,167.83
2017,Merapi,-7.542,110.442
2017,Sinabung,3.17,98.392
2018,Kadovar,-3.62,144.62
2018,Mayon,13.257,123.685
2018,Kusatsu-Shirane,36.62,138.55
2018,Kilauea,19.425,-155.292
2018,Kadovar,-3.62,144.62
2018,Ijen,-8.058,114.242
2018,Kilauea,19.425,-155.292
2018,Aoba,-15.4,167.83
